Order id;Date;Status;Season;Brand name;Brand sales person;Collection;Category;Product name;Product reference;Color name;Description;Composition;Fabric / print;Size family name;Size name;EAN13;SKU;Quantity;Unit price;Net amount;Pre-discount amount;Discount rate;Currency
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Scarf Neck Lara Cardigan;AW26-678;CHECK SCARF NECK LARA CARDIGAN U05;AW26-678 Check Scarf Neck Lara Cardigan Ink Blue 34;100% Extrafine Merino Wool;;Woman;36;8434525639902;AW26-678U050000361;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Scarf Neck Lara Cardigan;AW26-678;CHECK SCARF NECK LARA CARDIGAN U05;AW26-678 Check Scarf Neck Lara Cardigan Ink Blue 34;100% Extrafine Merino Wool;;Woman;38;8434525639919;AW26-678U050000381;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Scarf Neck Lara Cardigan;AW26-678;CHECK SCARF NECK LARA CARDIGAN U05;AW26-678 Check Scarf Neck Lara Cardigan Ink Blue 34;100% Extrafine Merino Wool;;Woman;40;8434525639926;AW26-678U050000401;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Check Scarf Neck Lara Cardigan;AW26-678;CHECK SCARF NECK LARA CARDIGAN U05;AW26-678 Check Scarf Neck Lara Cardigan Ink Blue 34;100% Extrafine Merino Wool;;Woman;42;8434525639933;AW26-678U050000421;1;51,5;51,00;51,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Long Check Coat;AW26-604;LONG CHECK COAT 107;AW26-604 Long Check Coat Navy 34;70% Wool  30% Polyester;;Woman;36;8434525636765;AW26-6041070000361;1;110,7;110,00;110,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Long Check Coat;AW26-604;LONG CHECK COAT 107;AW26-604 Long Check Coat Navy 34;70% Wool  30% Polyester;;Woman;38;8434525636772;AW26-6041070000381;1;110,7;110,00;110,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Long Check Coat;AW26-604;LONG CHECK COAT 107;AW26-604 Long Check Coat Navy 34;70% Wool  30% Polyester;;Woman;40;8434525636789;AW26-6041070000401;1;110,7;110,00;110,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Outerwear;Long Check Coat;AW26-604;LONG CHECK COAT 107;AW26-604 Long Check Coat Navy 34;70% Wool  30% Polyester;;Woman;42;8434525636796;AW26-6041070000421;1;110,7;110,00;110,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Buttoned Cardigan;AW26-734;Buttoned Cardigan 107;AW26-734 Buttoned Cardigan Navy 34;100% Merino Wool;;Woman;36;8434525641141;AW26-7341070000361;1;47,8;47,00;47,00;0;EUR
3217909;2026-02-08 13:40:53;Open for brand;FW26;Tinycottons;Counter Team;AW26 Woman;Sweaters & Cardigans;Buttoned Cardigan;AW26-734;Buttoned Cardigan 107;AW26-734 Buttoned Cardigan Navy 34;100% Merino Wool;;Woman;38;8434525641158;AW26-7341070000381;1;47,8;47,00;47,00;0;EUR
